sample_idx,target_class,distortion_type,distorted_snr,restored_snr,clean_canny_iou,distorted_canny_iou,restored_canny_iou,clean_grabcut_iou,distorted_grabcut_iou,restored_grabcut_iou,clean_dl_f1,distorted_dl_f1,restored_dl_f1
125,car,salt_pepper,12.684675216674805,23.0942440032959,1.0,0.12400807462063204,0.1446229913473424,0.605259063326591,0.20134333020930958,0.5957811162139021,0.6666666666666666,1.0,0.6666666666666666
125,car,overexposure,4.798986434936523,5.987807273864746,1.0,0.22281186934748487,0.20480573315534323,0.605259063326591,0.5236788458522816,0.8337392944134517,0.6666666666666666,0.6666666666666666,1.0
125,car,motion_blur,23.60301971435547,18.110475540161133,1.0,0.18996789030634384,0.1150906706462262,0.605259063326591,0.6010269975881117,0.5892263698894814,0.6666666666666666,0.5,0.0
126,person,salt_pepper,12.53413200378418,20.630691528320312,1.0,0.21233871656840125,0.2085924519344885,0.7723790763843291,0.43706467661691545,0.7646846846846846,0.6666666666666666,1.0,0.6666666666666666
126,person,overexposure,2.9603281021118164,7.223468780517578,1.0,0.1799394176275161,0.17678061274751256,0.7723790763843291,0.6563221931310642,0.5728143854252928,0.6666666666666666,1.0,0.6666666666666666
126,person,motion_blur,19.059900283813477,15.892228126525879,1.0,0.16077077940753523,0.17602264961437078,0.7723790763843291,0.36543959340698123,0.4068937875751503,0.6666666666666666,1.0,0.6666666666666666
132,bird,salt_pepper,12.15371322631836,21.574609756469727,1.0,0.1512458232270977,0.2853382469070808,0.9831880448318805,0.0,0.9849618201651862,1.0,1.0,1.0
132,bird,overexposure,2.4674081802368164,8.983304977416992,1.0,0.3102132917853113,0.31934871099050205,0.9831880448318805,0.31006794317479924,0.6696137738483016,1.0,1.0,1.0
132,bird,motion_blur,18.479890823364258,16.672792434692383,1.0,0.09742441209406495,0.14277963649516232,0.9831880448318805,0.9068516641983008,0.33548086625785917,1.0,1.0,1.0
144,person,salt_pepper,9.053240776062012,18.827638626098633,1.0,0.22413549752999296,0.2881561107883014,0.30460151173584404,0.012027758202644435,0.3038351065981634,1.0,0.6666666666666666,0.8
144,person,overexposure,-0.7643824219703674,8.137514114379883,1.0,0.4784143041995059,0.4839861888320038,0.30460151173584404,0.323444697353801,0.11297859677739326,1.0,1.0,0.6666666666666666
144,person,motion_blur,15.19300365447998,13.440389633178711,1.0,0.09299108515216722,0.12352073666414877,0.30460151173584404,0.30555865553379935,0.0,1.0,0.6666666666666666,0.5
147,sofa,salt_pepper,11.279630661010742,20.61586570739746,1.0,0.17439891635624788,0.177984496124031,0.40096597709010084,0.4112875536480687,0.4311681962623053,0.6666666666666666,0.0,0.6666666666666666
147,sofa,overexposure,1.103004813194275,8.63969612121582,1.0,0.25859749206178356,0.25300484037635285,0.40096597709010084,0.1714318760120287,0.17689625525410776,0.6666666666666666,0.0,0.0
147,sofa,motion_blur,19.391605377197266,16.579172134399414,1.0,0.10222762770451926,0.14734187854591302,0.40096597709010084,0.4107557771112332,0.40791329998717457,0.6666666666666666,0.0,0.0
149,horse,salt_pepper,13.290288925170898,23.645645141601562,1.0,0.19596511283288878,0.3338202097994954,0.8876725873088739,0.9628306210432284,0.8893700163700692,0.6666666666666666,1.0,1.0
149,horse,overexposure,7.3559112548828125,5.436391353607178,1.0,0.35741972808793754,0.36524256928440585,0.8876725873088739,0.424580572668449,0.699193767200279,0.6666666666666666,1.0,1.0
149,horse,motion_blur,19.59712028503418,18.36801528930664,1.0,0.1315632260205775,0.132903691018072,0.8876725873088739,0.8513071895424836,0.9211985240947101,0.6666666666666666,0.6666666666666666,0.0
157,person,salt_pepper,6.582345962524414,13.879110336303711,1.0,0.32619137034767653,0.135386711064023,0.34539069359086916,0.34291121816930487,0.7291631157320607,0.5,1.0,1.0
157,person,overexposure,-2.3329482078552246,4.559566974639893,1.0,0.4984300821381025,0.4662659618123446,0.34539069359086916,0.3469620031518123,0.7205298013245033,0.5,0.6666666666666666,0.6666666666666666
157,person,motion_blur,13.128796577453613,10.142391204833984,1.0,0.13207025853562265,0.17501885041470913,0.34539069359086916,0.3320963148355916,0.0,0.5,0.6666666666666666,0.6666666666666666
163,train,salt_pepper,11.680168151855469,15.598796844482422,1.0,0.39022981717000693,0.10415926057589762,0.8191393727632003,0.7733192056601839,0.8159788414309512,1.0,1.0,1.0
163,train,overexposure,2.5926945209503174,6.650363922119141,1.0,0.311346047802856,0.3121380654778969,0.8191393727632003,0.5359373086812783,0.9233150557432774,1.0,1.0,1.0
163,train,motion_blur,14.82365608215332,12.18959903717041,1.0,0.08832664682282904,0.1543839668454104,0.8191393727632003,0.8157281750050638,0.6975056454810294,1.0,0.0,0.0
166,person,salt_pepper,9.745026588439941,15.916165351867676,1.0,0.3008957058806311,0.08269188475918188,0.362431718061674,0.34275184275184273,0.4468763371844245,0.8,1.0,1.0
166,person,overexposure,0.2452709972858429,8.196401596069336,1.0,0.18280075187969924,0.17057251516085928,0.362431718061674,0.1706469008307481,0.16436290525257602,0.8,0.8,0.6666666666666666
166,person,motion_blur,16.53187370300293,10.164703369140625,1.0,0.20621656787624693,0.18497827436374922,0.362431718061674,0.5209108647985355,0.7644118410802389,0.8,1.0,1.0
167,person,salt_pepper,9.134703636169434,18.856380462646484,1.0,0.1956521739130435,0.4067595427000687,0.6402145210029129,0.5344823575930966,0.6748182419035029,1.0,0.6666666666666666,1.0
167,person,overexposure,0.09528172016143799,8.221416473388672,1.0,0.4621412479185033,0.44871794871794873,0.6402145210029129,0.4792697148831785,0.48168454030606095,1.0,0.6666666666666666,0.6666666666666666
167,person,motion_blur,14.732139587402344,13.426336288452148,1.0,0.0916965722064101,0.12391106488102978,0.6402145210029129,0.5076234742191912,0.6414996450221179,1.0,1.0,0.5
168,person,salt_pepper,6.132084846496582,17.440202713012695,1.0,0.1952943658999789,0.23725994253742627,0.9830554796392457,0.5811144660993687,0.9476439790575916,1.0,1.0,1.0
168,person,overexposure,-1.7061370611190796,7.095320224761963,1.0,0.2369055657374361,0.20714221300387772,0.9830554796392457,0.9655643618474993,0.9652910631320033,1.0,1.0,1.0
168,person,motion_blur,15.184741973876953,12.45975399017334,1.0,0.15450512467492733,0.1863030807660283,0.9830554796392457,0.8846741344195519,0.5324851109907959,1.0,1.0,1.0
170,person,salt_pepper,8.969472885131836,23.022872924804688,1.0,0.13012265855281924,0.2917211328976035,0.6141449529231443,0.4304465018164772,0.6950502982284341,0.8,0.6666666666666666,0.6666666666666666
170,person,overexposure,-0.3705044090747833,8.956464767456055,1.0,0.2769138755980861,0.25985275010827197,0.6141449529231443,0.42264457439896036,0.47893388871689513,0.8,1.0,1.0
170,person,motion_blur,18.340852737426758,16.542064666748047,1.0,0.06970991679784125,0.12241751464693185,0.6141449529231443,0.42154617229392904,0.4131591319624873,0.8,1.0,0.6666666666666666
177,person,salt_pepper,12.75248908996582,19.58854103088379,1.0,0.3143544408898874,0.10225157746606746,0.8084901382906371,0.5179079022171689,0.8625521935594578,1.0,1.0,1.0
177,person,overexposure,3.011963129043579,8.095710754394531,1.0,0.07096092439870437,0.06619505972399398,0.8084901382906371,0.2711327506306095,0.5784774436090225,1.0,1.0,1.0
177,person,motion_blur,18.06890296936035,15.873315811157227,1.0,0.02248140238894234,0.13399285061102337,0.8084901382906371,0.7204150579150579,0.5247795304931064,1.0,1.0,1.0
181,person,salt_pepper,11.815123558044434,15.836325645446777,1.0,0.3193490594207226,0.14623194064818432,0.4009521597770553,0.029827315541601257,0.39842483205930046,1.0,0.6666666666666666,0.6666666666666666
181,person,overexposure,3.4268128871917725,7.337846755981445,1.0,0.43108574861090254,0.4263685661486261,0.4009521597770553,0.39724281742354034,0.394491183588798,1.0,0.6666666666666666,0.6666666666666666
181,person,motion_blur,16.386455535888672,11.837843894958496,1.0,0.27738309494490226,0.1980970588889136,0.4009521597770553,0.2657221838286109,0.0,1.0,0.6666666666666666,0.0
183,person,salt_pepper,11.550103187561035,21.12097930908203,1.0,0.20730573389417756,0.2784904257296895,0.5844785522374232,0.4219076450773888,0.46721991701244814,0.6666666666666666,0.6666666666666666,1.0
183,person,overexposure,3.3281686305999756,8.17624282836914,1.0,0.19440384213823345,0.17115461049284578,0.5844785522374232,0.20314111579934366,0.2777491931334487,0.6666666666666666,0.6666666666666666,1.0
183,person,motion_blur,16.645429611206055,15.445425033569336,1.0,0.05614125865079878,0.12092050209205021,0.5844785522374232,0.37477109720738594,0.3156625449443129,0.6666666666666666,0.6666666666666666,0.6666666666666666
189,horse,salt_pepper,9.163442611694336,15.389436721801758,1.0,0.288927864579143,0.19739992020215455,0.4979905541376984,0.03404834865509023,0.49427897632981044,1.0,0.0,1.0
