target_class,distortion_type,sample_idx,distorted_snr,restored_snr,clean_canny_iou,clean_grabcut_iou,clean_dl_f1,distorted_canny_iou,distorted_grabcut_iou,distorted_dl_f1,restored_canny_iou,restored_grabcut_iou,restored_dl_f1
bus,salt_pepper,22.0,11.152336120605469,20.951915740966797,1.0,0.8777100890583451,0.6666666666666666,0.14432434311135828,0.9043665479926263,1.0,0.3355637594216274,0.8846501128668172,0.6666666666666666
car,motion_blur,125.0,23.60301971435547,24.094478607177734,1.0,0.5495311288161884,0.6666666666666666,0.18996789030634384,0.6011048004356959,0.5,0.21684744576627013,0.5940090724229626,0.5
car,overexposure,125.0,7.387359142303467,10.811623573303223,1.0,0.5495311288161884,0.6666666666666666,0.36016875686297173,0.4308291163876995,0.6666666666666666,0.4074840999852093,0.5322526173590003,1.0
car,salt_pepper,125.0,12.684675216674805,23.0942440032959,1.0,0.5495311288161884,0.6666666666666666,0.12400807462063204,0.4926441664699866,1.0,0.1446229913473424,0.5957811162139021,0.5
cat,motion_blur,110.2,17.793241119384767,18.63900718688965,1.0,0.7979873919656837,0.8,0.11863240586645189,0.589151053631927,0.6,0.1704269578208728,0.7188360161453213,0.6
cat,overexposure,110.2,5.399115180969238,11.014389801025391,1.0,0.7979873919656837,0.8,0.5021663819208528,0.7910257281068935,0.6,0.5561107308247275,0.7485162097705416,0.8
cat,salt_pepper,110.2,10.509203147888183,19.867535972595213,1.0,0.7979873919656837,0.8,0.17284932503893363,0.36999320987804085,0.4,0.22578660271642687,0.767401695413272,0.8
chair,motion_blur,29.0,18.822071075439453,19.767616271972656,1.0,0.9564344425156338,0.5,0.17946122265339406,0.6524871714315635,0.5,0.25092311931661615,0.6368798133504016,0.5
chair,overexposure,29.0,4.5648884773254395,13.450547218322754,1.0,0.9564344425156338,0.5,0.5792289059345983,0.7104167102702024,0.5,0.6354028299162576,0.9746620914759174,0.6666666666666666
chair,salt_pepper,29.0,11.703624725341797,20.801090240478516,1.0,0.9564344425156338,0.5,0.16656420099266744,0.6790258529864657,0.5,0.30642467431243736,0.9018813555782924,0.3333333333333333
cow,motion_blur,84.33333333333333,15.619856516520182,16.345458984375,1.0,0.8019082567191383,0.5555555555555555,0.13135586699410146,0.7753022665783226,0.0,0.18332419334952266,0.7916270444792409,0.0
cow,overexposure,84.33333333333333,3.8510430653889975,14.46817684173584,1.0,0.8019082567191383,0.5555555555555555,0.5265279995857498,0.8079372654174454,0.6666666666666666,0.5660750680405201,0.8122813528045411,0.5555555555555555
cow,salt_pepper,84.33333333333333,10.376349290211996,16.268612225850422,1.0,0.8019082567191383,0.5555555555555555,0.27700411133949887,0.3078894237494715,0.0,0.13119608890608656,0.8042004270834044,0.4444444444444444
dog,motion_blur,99.33333333333333,17.37308120727539,18.349700291951496,1.0,0.7993813053203072,0.8888888888888888,0.084700318271676,0.7394289548725371,0.7222222222222222,0.13730269287522354,0.7891194948813783,0.8888888888888888
dog,overexposure,99.33333333333333,3.504470864931742,14.101221402486166,1.0,0.7993813053203072,0.8888888888888888,0.3725861209142925,0.7490558922376245,0.8888888888888888,0.47409378583408995,0.7914404770731953,0.8888888888888888
