sample_index,condition,distortion_type,severity_level,clean_reference_f1,distorted_clean_control_f1,restored_clean_control_f1,distorted_distortion_aware_f1
2309,Salt & Pepper L4,salt_pepper,4,0.0,0.0,0.0,0.0
4021,Salt & Pepper L4,salt_pepper,4,0.800000011920929,0.5,0.800000011920929,0.800000011920929
3678,Salt & Pepper L4,salt_pepper,4,0.0,0.0,0.0,0.0
3901,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
5202,Salt & Pepper L4,salt_pepper,4,0.75,0.5714285969734192,0.75,0.75
957,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816
2144,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
2227,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
1268,Salt & Pepper L4,salt_pepper,4,0.8571428656578064,0.6666666865348816,0.6666666865348816,1.0
3725,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
2370,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
5686,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
1446,Salt & Pepper L4,salt_pepper,4,0.800000011920929,0.6666666865348816,1.0,0.800000011920929
3674,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,0.6666666865348816,0.6666666865348816,1.0
4258,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,1.0,1.0,0.6666666865348816
3997,Salt & Pepper L4,salt_pepper,4,1.0,0.0,1.0,1.0
2168,Salt & Pepper L4,salt_pepper,4,0.800000011920929,0.0,0.6666666865348816,0.6666666865348816
2576,Salt & Pepper L4,salt_pepper,4,1.0,0.6666666865348816,0.5,0.5
4219,Salt & Pepper L4,salt_pepper,4,1.0,1.0,0.6666666865348816,1.0
4621,Salt & Pepper L4,salt_pepper,4,0.0,0.0,0.0,0.0
5335,Salt & Pepper L4,salt_pepper,4,0.8571428656578064,0.6666666865348816,0.75,0.75
352,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,0.0,0.6666666865348816,0.6666666865348816
1570,Salt & Pepper L4,salt_pepper,4,1.0,0.0,0.6666666865348816,0.6666666865348816
5755,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
3672,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
1260,Salt & Pepper L4,salt_pepper,4,0.0,0.0,0.0,0.0
2192,Salt & Pepper L4,salt_pepper,4,0.800000011920929,0.0,0.800000011920929,0.800000011920929
4643,Salt & Pepper L4,salt_pepper,4,1.0,0.800000011920929,0.800000011920929,0.800000011920929
2247,Salt & Pepper L4,salt_pepper,4,1.0,0.0,1.0,0.0
503,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,0.4000000059604645,0.5714285969734192,0.6666666865348816
216,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,1.0,1.0,0.5
3746,Salt & Pepper L4,salt_pepper,4,1.0,0.0,0.6666666865348816,1.0
2372,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816
4305,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,0.4000000059604645,0.4000000059604645,0.6666666865348816
2269,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
3093,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
1497,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,0.6666666865348816,1.0,0.6666666865348816
3469,Salt & Pepper L4,salt_pepper,4,1.0,1.0,0.0,1.0
1715,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816
812,Salt & Pepper L4,salt_pepper,4,1.0,0.0,1.0,0.6666666865348816
4110,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,1.0,0.6666666865348816,1.0
3699,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,0.6666666865348816,0.6666666865348816,1.0
841,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
2621,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
4278,Salt & Pepper L4,salt_pepper,4,1.0,0.0,1.0,0.0
4674,Salt & Pepper L4,salt_pepper,4,1.0,0.6666666865348816,0.6666666865348816,0.6666666865348816
1608,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
2296,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
5294,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,0.0,0.6666666865348816,0.6666666865348816
3118,Salt & Pepper L4,salt_pepper,4,1.0,1.0,0.800000011920929,1.0
3823,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
793,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816
1768,Salt & Pepper L4,salt_pepper,4,0.0,0.0,0.0,0.0
3217,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
743,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
3008,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
894,Salt & Pepper L4,salt_pepper,4,0.4000000059604645,0.6666666865348816,1.0,0.5
1767,Salt & Pepper L4,salt_pepper,4,1.0,0.0,1.0,1.0
5274,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,1.0,1.0,1.0
2342,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
3520,Salt & Pepper L4,salt_pepper,4,0.5,0.5,0.4000000059604645,0.5
265,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
1887,Salt & Pepper L4,salt_pepper,4,1.0,0.6666666865348816,1.0,0.8571428656578064
1342,Salt & Pepper L4,salt_pepper,4,0.0,0.0,0.0,0.0
1599,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,0.0,0.6666666865348816,0.6666666865348816
3229,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
4009,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
5480,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,0.5,0.6666666865348816,0.6666666865348816
2265,Salt & Pepper L4,salt_pepper,4,0.800000011920929,0.5,0.800000011920929,0.5
4996,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
5084,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
2889,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
3310,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
3523,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.5
5772,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
4655,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,0.6666666865348816
32,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,0.800000011920929
2979,Salt & Pepper L4,salt_pepper,4,1.0,0.5,0.6666666865348816,0.6666666865348816
5447,Salt & Pepper L4,salt_pepper,4,0.8571428656578064,0.5,0.8571428656578064,0.8571428656578064
5590,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,0.4000000059604645,0.6666666865348816,0.6666666865348816
2264,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816
2961,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
4943,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
1205,Salt & Pepper L4,salt_pepper,4,1.0,0.0,0.800000011920929,1.0
178,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,0.6666666865348816,0.6666666865348816,1.0
3125,Salt & Pepper L4,salt_pepper,4,1.0,0.0,0.0,0.6666666865348816
5561,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816
247,Salt & Pepper L4,salt_pepper,4,0.800000011920929,0.4000000059604645,1.0,0.800000011920929
3646,Salt & Pepper L4,salt_pepper,4,1.0,0.0,1.0,1.0
1388,Salt & Pepper L4,salt_pepper,4,0.800000011920929,1.0,1.0,0.800000011920929
4889,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
