model,condition,distortion_type,class,mean_snr,class_f1_score,support,predicted_positive
fine_tuned_resnet50,salt_pepper_6,salt_pepper,person,2.0476383843203076,0.5772357723577236,153,93
fine_tuned_resnet50,salt_pepper_6,salt_pepper,pottedplant,2.0476383843203076,0.0,22,1
fine_tuned_resnet50,salt_pepper_6,salt_pepper,sheep,2.0476383843203076,0.14814814814814814,8,19
fine_tuned_resnet50,salt_pepper_6,salt_pepper,sofa,2.0476383843203076,0.047619047619047616,39,3
fine_tuned_resnet50,salt_pepper_6,salt_pepper,train,2.0476383843203076,0.11764705882352941,14,3
fine_tuned_resnet50,salt_pepper_6,salt_pepper,tvmonitor,2.0476383843203076,0.09523809523809523,20,1
clean_trained_resnet50,overexposure_1,overexposure,aeroplane,15.840142316818238,0.9836065573770492,31,30
clean_trained_resnet50,overexposure_1,overexposure,bicycle,15.840142316818238,0.7878787878787878,18,15
clean_trained_resnet50,overexposure_1,overexposure,bird,15.840142316818238,0.8387096774193549,16,15
clean_trained_resnet50,overexposure_1,overexposure,boat,15.840142316818238,0.8275862068965517,14,15
clean_trained_resnet50,overexposure_1,overexposure,bottle,15.840142316818238,0.5384615384615384,28,24
clean_trained_resnet50,overexposure_1,overexposure,bus,15.840142316818238,0.8888888888888888,9,9
clean_trained_resnet50,overexposure_1,overexposure,car,15.840142316818238,0.7126436781609196,43,44
clean_trained_resnet50,overexposure_1,overexposure,cat,15.840142316818238,0.8857142857142857,35,35
clean_trained_resnet50,overexposure_1,overexposure,chair,15.840142316818238,0.6666666666666666,58,53
clean_trained_resnet50,overexposure_1,overexposure,cow,15.840142316818238,0.72,10,15
clean_trained_resnet50,overexposure_1,overexposure,diningtable,15.840142316818238,0.6938775510204082,25,24
clean_trained_resnet50,overexposure_1,overexposure,dog,15.840142316818238,0.9433962264150944,53,53
clean_trained_resnet50,overexposure_1,overexposure,horse,15.840142316818238,0.75,14,18
clean_trained_resnet50,overexposure_1,overexposure,motorbike,15.840142316818238,0.8,13,12
clean_trained_resnet50,overexposure_1,overexposure,person,15.840142316818238,0.8664495114006515,153,154
clean_trained_resnet50,overexposure_1,overexposure,pottedplant,15.840142316818238,0.5909090909090909,22,22
clean_trained_resnet50,overexposure_1,overexposure,sheep,15.840142316818238,0.8,8,7
clean_trained_resnet50,overexposure_1,overexposure,sofa,15.840142316818238,0.5934065934065934,39,52
clean_trained_resnet50,overexposure_1,overexposure,train,15.840142316818238,0.8571428571428571,14,14
clean_trained_resnet50,overexposure_1,overexposure,tvmonitor,15.840142316818238,0.7894736842105263,20,18
fine_tuned_resnet50,overexposure_1,overexposure,aeroplane,15.840142316818238,0.9523809523809523,31,32
fine_tuned_resnet50,overexposure_1,overexposure,bicycle,15.840142316818238,0.8,18,17
fine_tuned_resnet50,overexposure_1,overexposure,bird,15.840142316818238,0.8484848484848485,16,17
fine_tuned_resnet50,overexposure_1,overexposure,boat,15.840142316818238,0.7741935483870968,14,17
fine_tuned_resnet50,overexposure_1,overexposure,bottle,15.840142316818238,0.7,28,32
fine_tuned_resnet50,overexposure_1,overexposure,bus,15.840142316818238,0.7777777777777778,9,9
fine_tuned_resnet50,overexposure_1,overexposure,car,15.840142316818238,0.7160493827160493,43,38
fine_tuned_resnet50,overexposure_1,overexposure,cat,15.840142316818238,0.9117647058823529,35,33
fine_tuned_resnet50,overexposure_1,overexposure,chair,15.840142316818238,0.6355140186915887,58,49
fine_tuned_resnet50,overexposure_1,overexposure,cow,15.840142316818238,0.6923076923076923,10,16
fine_tuned_resnet50,overexposure_1,overexposure,diningtable,15.840142316818238,0.6792452830188679,25,28
fine_tuned_resnet50,overexposure_1,overexposure,dog,15.840142316818238,0.8571428571428571,53,66
fine_tuned_resnet50,overexposure_1,overexposure,horse,15.840142316818238,0.7586206896551724,14,15
fine_tuned_resnet50,overexposure_1,overexposure,motorbike,15.840142316818238,0.782608695652174,13,10
fine_tuned_resnet50,overexposure_1,overexposure,person,15.840142316818238,0.845360824742268,153,138
fine_tuned_resnet50,overexposure_1,overexposure,pottedplant,15.840142316818238,0.6222222222222222,22,23
fine_tuned_resnet50,overexposure_1,overexposure,sheep,15.840142316818238,0.7777777777777778,8,10
fine_tuned_resnet50,overexposure_1,overexposure,sofa,15.840142316818238,0.5517241379310345,39,48
fine_tuned_resnet50,overexposure_1,overexposure,train,15.840142316818238,0.9032258064516129,14,17
fine_tuned_resnet50,overexposure_1,overexposure,tvmonitor,15.840142316818238,0.6666666666666666,20,31
clean_trained_resnet50,overexposure_3,overexposure,aeroplane,1.237467208316084,0.8928571428571429,31,25
clean_trained_resnet50,overexposure_3,overexposure,bicycle,1.237467208316084,0.75,18,14
clean_trained_resnet50,overexposure_3,overexposure,bird,1.237467208316084,0.7096774193548387,16,15
clean_trained_resnet50,overexposure_3,overexposure,boat,1.237467208316084,0.896551724137931,14,15
clean_trained_resnet50,overexposure_3,overexposure,bottle,1.237467208316084,0.46808510638297873,28,19
clean_trained_resnet50,overexposure_3,overexposure,bus,1.237467208316084,0.8888888888888888,9,9
clean_trained_resnet50,overexposure_3,overexposure,car,1.237467208316084,0.6666666666666666,43,41
clean_trained_resnet50,overexposure_3,overexposure,cat,1.237467208316084,0.8918918918918919,35,39
clean_trained_resnet50,overexposure_3,overexposure,chair,1.237467208316084,0.6862745098039216,58,44
clean_trained_resnet50,overexposure_3,overexposure,cow,1.237467208316084,0.7619047619047619,10,11
clean_trained_resnet50,overexposure_3,overexposure,diningtable,1.237467208316084,0.6666666666666666,25,17
clean_trained_resnet50,overexposure_3,overexposure,dog,1.237467208316084,0.8421052631578947,53,42
clean_trained_resnet50,overexposure_3,overexposure,horse,1.237467208316084,0.6206896551724138,14,15
