target_class,condition,distortion_type,severity_level,severity_label,params,sample_idx,snr,canny_iou_vs_clean,grabcut_iou_gt,dl_f1_score,dl_jaccard_score
chair,motion_blur_L3,motion_blur,3,L3,{'kernel_size': 11},29.0,19.85628890991211,0.23124340534236687,0.6513862830936001,0.5,0.3333333333333333
chair,motion_blur_L4,motion_blur,4,L4,{'kernel_size': 15},29.0,18.822071075439453,0.17946122265339406,0.6516225054502767,0.5,0.3333333333333333
chair,motion_blur_L5,motion_blur,5,L5,{'kernel_size': 25},29.0,17.298664093017578,0.09661807236026677,0.6343912314424768,0.0,0.0
chair,motion_blur_L6,motion_blur,6,L6,{'kernel_size': 41},29.0,15.927349090576172,0.0371130175307721,0.6580419438172536,0.0,0.0
chair,overexposure_L1,overexposure,1,L1,"{'factor': 1.1, 'bias': 10}",29.0,15.893058776855469,0.9371593258567759,0.8808109125904849,0.5,0.3333333333333333
chair,overexposure_L2,overexposure,2,L2,"{'factor': 1.3, 'bias': 20}",29.0,8.30053997039795,0.807876930194899,0.7311073895750471,0.5,0.3333333333333333
chair,overexposure_L3,overexposure,3,L3,"{'factor': 1.6, 'bias': 35}",29.0,4.270736217498779,0.5651734760870664,0.7095707498796593,0.5,0.3333333333333333
chair,overexposure_L4,overexposure,4,L4,"{'factor': 2.0, 'bias': 50}",29.0,2.3214573860168457,0.4256458570932712,0.7567601480644959,0.6666666666666666,0.5
chair,overexposure_L5,overexposure,5,L5,"{'factor': 2.5, 'bias': 75}",29.0,1.0680996179580688,0.2598685996633545,0.6992209646599332,0.6666666666666666,0.5
chair,overexposure_L6,overexposure,6,L6,"{'factor': 3.2, 'bias': 100}",29.0,0.37895339727401733,0.0972096120089583,0.01439258244652829,0.6666666666666666,0.5
chair,salt_pepper_L1,salt_pepper,1,L1,{'amount': 0.005},29.0,23.012741088867188,0.7144164539280381,0.9299113962725328,0.4,0.25
chair,salt_pepper_L2,salt_pepper,2,L2,{'amount': 0.01},29.0,20.066757202148438,0.5552959203217774,0.9499124197180749,0.3333333333333333,0.2
